]0;🐍Done | 9.2.8\
Code stopped by auto-reload. Reloading soon.
soft reboot
[2K[0GAuto-reload is on. Simply save files over USB to run them or enter REPL to disable.
[2K[0Gcode.py output:
]0;🐍code.py | 9.2.8\
BNO085 initialized, 1 reports successfully.
IMU initialized.
timestamp_s,roll_deg
17.2660,108.0931
17.3030,110.2673
17.3350,110.2673
17.3620,111.3161
17.3940,110.8206
17.4270,110.8206
17.4540,108.9432
17.4860,108.9432
17.5140,107.4965
17.5460,107.3087
17.5830,107.3087
17.6100,106.8839
17.6430,106.1226
17.6750,106.1226
17.7020,105.6009
17.7340,105.6009
17.7620,105.3097
17.7940,105.1722
17.8310,105.1722
17.8590,105.3208
17.8930,105.7251
17.9250,105.7251
17.9520,107.2586
17.9840,107.2586
18.0120,110.1644
18.0440,115.0160
18.0800,115.0160
18.1070,122.5354
18.1400,133.7488
18.1720,133.7488
18.1990,147.9777
18.2300,147.9777
18.2580,159.5413
18.2890,167.3030
18.3200,167.3030
18.3520,167.5986
18.3850,167.5986
18.4120,163.9742
18.4430,158.9473
18.4760,158.9473
18.5040,154.2532
18.5360,154.2532
18.5620,149.6941
18.5950,145.1542
18.6310,145.1542
18.6580,141.2021
18.6910,137.8439
18.7240,137.8439
18.7510,134.9805
18.7830,134.9805
18.8100,132.4689
18.8430,130.5942
18.8790,130.5942
18.9060,129.2239
18.9390,128.0409
18.9720,128.0409
18.9990,126.8430
19.0330,126.8430
19.0600,125.4493
19.0930,124.0747
19.1240,124.0747
19.1550,122.4537
19.1860,121.1448
19.2190,121.1448
19.2460,119.8735
19.2770,119.8735
19.3050,118.6145
19.3360,118.6145
19.3620,117.4753
19.3940,116.6274
19.4310,116.6274
19.4580,116.0576
19.4900,115.4810
19.5230,115.4810
19.5510,114.9814
19.5830,114.9814
19.6090,114.2964
19.6420,113.4601
19.6780,113.4601
19.7060,112.6490
19.7380,111.8830
19.7700,111.8830
19.7980,111.1617
19.8300,111.1617
19.8570,110.5579
19.8900,110.1026
19.9220,110.1026
19.9530,109.7634
19.9850,109.4964
20.0180,109.4964
20.0460,109.1323
20.0780,109.1323
20.1050,108.6149
20.1390,107.8759
20.1710,107.8759
20.1980,107.2243
20.2350,106.7284
20.2680,106.7284
20.2960,106.1215
20.3280,106.1215
20.3550,105.4152
20.3890,104.6436
20.4210,104.6436
20.4480,103.8796
20.4850,103.4141
20.5170,103.4141
20.5440,103.0767
20.5760,103.0767
20.6030,102.9750
20.6370,102.9418
20.6690,102.9418
20.6960,102.8742
20.7330,102.8076
20.7660,102.8076
20.7930,102.6837
20.8250,102.6837
20.8520,102.5262
20.8850,102.3150
20.9180,102.3150
20.9440,102.0919
20.9760,102.0919
21.0040,101.8593
21.0410,101.6588
21.0720,101.6588
21.0990,101.4379
21.1310,101.4379
21.1580,101.2056
21.1900,100.9085
21.2230,100.9085
21.2500,100.6331
21.2850,100.3939
21.3170,100.3939
21.3450,100.1529
21.3770,100.1529
21.4040,99.9787
21.4360,99.7941
21.4690,99.7941
21.4960,99.6632
21.5320,99.5229
21.5650,99.5229
21.5930,99.4908
21.6250,99.4908
21.6520,99.5663
21.6840,99.6645
21.7170,99.6645
21.7430,99.7285
21.7750,99.7285
21.8030,99.6859
21.8390,99.5453
21.8700,99.5453
21.8970,99.3398
21.9290,99.3398
21.9550,99.1010
21.9880,98.8426
22.0190,98.8426
22.0470,98.5528
22.0830,98.2742
22.1150,98.2742
22.1430,98.0500
22.1750,98.0500
22.2020,97.9315
22.2340,97.8893
22.2670,97.8893
22.2940,97.7832
22.3260,97.7832
22.3570,97.6021
22.3900,97.4115
22.4220,97.4115
22.4490,97.2419
22.4820,97.0520
22.5150,97.0520
22.5420,96.8503
22.5740,96.8503
22.6010,96.6617
22.6390,96.5034
22.6710,96.5034
22.6980,96.3671
22.7300,96.3147
22.7630,96.3147
22.7910,96.2614
22.8220,96.2614
22.8500,96.2199
22.8870,96.0837
22.9180,96.0837
22.9440,95.9259
22.9760,95.9259
23.0040,95.7904
23.0370,95.7068
23.0690,95.7068
23.0960,95.6856
23.1270,95.6856
23.1540,95.7169
23.1900,95.6962
23.2230,95.6962
23.2500,95.6858
23.2820,95.6754
23.3130,95.6754
23.3410,95.6332
23.3730,95.6332
23.4000,95.5398
23.4370,95.3725
23.4710,95.3725
23.4980,95.2588
23.5300,95.1752
23.5620,95.1752
23.5900,95.1234
23.6220,95.1234
23.6480,95.2272
23.6810,95.4355
23.7170,95.4355
23.7430,95.6226
23.7750,95.6226
23.8030,95.6745
23.8340,95.6122
23.8650,95.6122
23.8930,95.4873
23.9250,95.4873
23.9510,95.3420
23.9880,95.1648
24.0200,95.1648
24.0480,94.8756
24.0800,94.6271
24.1120,94.6271
24.1390,94.4415
24.1710,94.4415
24.1980,94.3386
24.2340,94.2868
24.2670,94.2868
24.2940,94.2868
24.3250,94.2868
24.3510,94.2564
24.3840,94.1743
24.4150,94.1743
24.4410,94.0099
24.4740,94.0099
24.5010,93.9584
24.5370,93.9176
24.5690,93.9176
24.5970,93.8355
24.6290,93.6616
24.6610,93.6616
24.6880,93.4471
24.7210,93.4471
24.7490,93.2127
24.7850,92.9173
24.8180,92.9173
24.8460,92.6737
24.8780,92.5522
24.9090,92.5522
24.9360,92.5723
24.9690,92.5723
24.9960,92.6433
25.0290,92.6537
25.0660,92.6537
25.0940,92.6535
25.1260,92.6942
25.1580,92.6942
25.1850,92.6940
25.2180,92.6940
25.2450,92.6837
25.2770,92.5724
25.3140,92.5724
25.3420,92.4913
25.3730,92.4913
25.3990,92.3699
25.4320,92.2989
25.4630,92.2989
25.4890,92.1979
25.5210,92.1979
25.5490,92.1070
25.5850,92.0263
25.6170,92.0263
25.6440,91.8450
25.6770,91.7442
25.7090,91.7442
25.7360,91.5939
25.7680,91.5939
25.7960,91.4231
25.8270,91.3327
25.8640,91.3327
25.8920,91.3127
25.9240,91.2526
25.9560,91.2526
25.9830,91.2426
26.0160,91.2426
26.0430,91.3227
26.0750,91.4430
26.1110,91.4430
26.1380,91.4634
26.1700,91.4634
26.1960,91.3831
26.2280,91.3227
26.2600,91.3227
26.2870,91.2929
26.3190,91.2929
26.3470,91.2929
26.3840,91.2829
26.4160,91.2829
26.4430,91.2428
26.4760,91.2127
26.5080,91.2127
26.5340,91.1527
26.5660,91.1527
26.5940,91.1128
26.6260,91.0128
26.6640,91.0128
26.6910,90.9028
26.7240,90.8231
26.7560,90.8231
26.7830,90.7533
26.8150,90.7533
26.8430,90.7930
26.8760,90.9427
26.9120,90.9427
26.9390,91.1327
26.9720,91.1427
27.0040,91.1427
27.0310,91.1027
27.0630,91.1027
27.0910,91.0925
27.1230,91.1227
27.1590,91.1227
27.1850,91.0726
27.2180,91.0726
27.2450,90.9924
27.2770,90.9328
27.3090,90.9328
27.3370,90.9027
27.3680,90.9027
27.3940,90.8530
27.4270,90.7430
27.4630,90.7430
27.4900,90.6436
27.5220,90.4844
27.5550,90.4844
27.5820,90.3352
27.6140,90.3352
27.6420,90.2359
27.6740,90.1466
27.7100,90.1466
27.7370,90.0968
27.7690,90.0770
27.8020,90.0770
27.8290,90.1068
27.8610,90.1068
27.8890,90.1861
27.9210,90.2455
27.9520,90.2455
27.9790,90.2556
28.0160,90.2556
28.0430,90.2060
28.0740,90.1565
28.1050,90.1565
28.1330,90.1170
28.1650,90.1170
28.1910,90.0181
28.2240,89.8696
28.2600,89.8696
28.2870,89.7411
28.3190,89.6326
28.3510,89.6326
28.3790,89.5338
28.4110,89.5338
28.4370,89.4551
28.4710,89.4059
28.5080,89.4059
28.5360,89.3664
28.5670,89.3270
28.6000,89.3270
28.6270,89.2878
28.6590,89.2878
28.6860,89.2388
28.7190,89.1700
28.7510,89.1700
28.7780,89.0620
28.8140,89.0620
28.8420,88.9148
28.8730,88.7088
28.9050,88.7088
28.9330,88.4053
28.9640,88.4053
28.9900,87.9558
29.0220,87.2654
29.0590,87.2654
29.0860,85.9752
29.1180,84.1822
29.1500,84.1822
29.1780,82.2713
29.2100,82.2713
29.2370,79.5745
29.2690,75.7738
29.3020,75.7738
29.3290,70.3360
29.3640,62.5913
29.3960,62.5913
29.4240,51.7449
29.4550,51.7449
29.4820,35.9339
29.5140,12.9390
29.5450,12.9390
29.5720,6.8888
29.6080,6.8888
29.6360,6.6049
29.6680,3.8482
29.7000,3.8482
29.7270,4.2571
29.7600,4.2571
29.7870,4.1513
29.8190,4.2356
29.8550,4.2356
29.8830,4.2356
29.9150,4.2567
29.9480,4.2567
29.9760,4.2778
30.0080,4.2778
30.0360,4.2990
30.0690,4.3134
30.1010,4.3134
30.1290,4.3272
30.1650,3.8107
30.1970,3.8107
30.2240,3.2314
30.2570,3.2314
30.2840,2.9382
30.3160,2.7499
30.3490,2.7499
30.3760,2.6802
30.4120,2.6244
30.4430,2.6244
30.4710,2.5757
30.5020,2.5757
30.5280,2.5341
30.5600,2.5341
30.5880,2.4924
30.6210,2.4506
30.6520,2.4506
30.6800,2.4159
30.7160,2.3882
30.7490,2.3882
30.7750,2.3462
30.8080,2.3462
30.8350,2.3114
30.8670,2.2907
30.8990,2.2907
30.9270,2.2627
30.9630,2.2419
30.9950,2.2419
31.0220,2.2143
31.0550,2.2143
31.0820,2.1933
31.1140,2.1726
31.1460,2.1726
31.1740,2.1447
31.2100,2.1447
31.2360,2.1308
31.2680,2.1169
31.3000,2.1169
31.3270,2.0890
31.3580,2.0890
31.3860,2.0681
31.4170,2.0543
31.4480,2.0543
31.4760,2.0406
31.5130,2.0196
31.5450,2.0196
31.5720,2.0057
31.6040,2.0057
31.6320,1.9917
31.6640,1.9847
31.6960,1.9847
31.7240,1.9706
31.7610,1.9566
31.7930,1.9566
31.8200,1.9428
31.8520,1.9428
31.8800,1.9359
31.9120,1.9289
31.9440,1.9289
31.9720,1.8522
32.0040,1.8522
32.0360,1.8801
32.0670,1.9358
32.1000,1.9358
32.1270,1.9080
32.1580,1.9080
32.1840,1.9363
32.2170,2.0400
32.2480,2.0400
32.2740,2.0513
32.3100,2.2050
32.3430,2.2050
32.3700,3.0515
32.4020,3.0515
32.4300,4.4911
32.4620,6.6611
32.4940,6.6611
32.5200,9.7441
32.5580,13.8071
32.5900,13.8071
32.6170,18.6642
32.6500,18.6642
32.6780,24.6678
32.7100,31.6250
32.7410,31.6250
32.7680,38.8395
32.8010,38.8395
32.8280,45.4353
32.8650,51.9957
32.8960,51.9957
32.9240,58.0742
32.9550,58.0742
32.9820,64.4734
33.0150,70.5423
33.0460,70.5423
33.0720,76.1946
33.1080,81.4967
33.1420,81.4967
33.1690,85.9087
33.2010,85.9087
33.2280,89.6953
