]0;🐍Done | 9.2.8\
Code stopped by auto-reload. Reloading soon.
soft reboot
[2K[0GAuto-reload is on. Simply save files over USB to run them or enter REPL to disable.
[2K[0Gcode.py output:
]0;🐍code.py | 9.2.8\
BNO085 initialized, 1 reports successfully.
IMU initialized.
timestamp_s,roll_deg
19.3760,59.9370
19.4030,59.6162
19.4400,60.1339
19.4720,60.1339
19.4990,62.1615
19.5300,62.1615
19.5570,68.1299
19.5890,68.1299
19.6150,73.7667
19.6470,77.9173
19.6790,77.9173
19.7100,80.3113
19.7430,81.2721
19.7750,81.2721
19.8030,80.9208
19.8350,80.9208
19.8620,79.2848
19.8950,76.1573
19.9270,76.1573
19.9540,72.2711
19.9910,70.8108
20.0230,70.8108
20.0500,71.5984
20.0830,71.5984
20.1100,73.9838
20.1430,77.7612
20.1750,77.7612
20.2020,80.4467
20.2380,80.4467
20.2650,81.6736
20.2970,81.6210
20.3280,81.6210
20.3550,80.3313
20.3870,80.3313
20.4140,77.7072
20.4460,73.5266
20.4780,73.5266
20.5050,66.6137
20.5410,56.9483
20.5730,56.9483
20.6000,47.0394
20.6320,47.0394
20.6590,32.2200
20.6910,9.7509
20.7230,9.7509
20.7500,6.5833
20.7870,5.3634
20.8180,5.3634
20.8460,2.8568
20.8770,2.8568
20.9040,3.4383
20.9360,3.4383
20.9620,3.4260
20.9940,3.4699
21.0260,3.4699
21.0580,3.4918
21.0910,3.5265
21.1230,3.5265
21.1500,3.5632
21.1830,3.5632
21.2100,3.6940
21.2420,3.8913
21.2750,3.8913
21.3020,4.2800
21.3390,5.4108
21.3710,5.4108
21.3980,8.8732
21.4310,8.8732
21.4580,14.1684
21.4900,21.0257
21.5210,21.0257
21.5480,28.4974
21.5840,28.4974
21.6100,35.5710
21.6440,41.6626
21.6750,41.6626
21.7010,46.5695
21.7340,46.5695
21.7610,50.8602
21.7930,54.4840
21.8240,54.4840
21.8510,58.2787
21.8870,63.9882
21.9190,63.9882
21.9460,71.6682
21.9790,71.6682
22.0050,77.9380
22.0370,82.4034
22.0690,82.4034
22.0970,85.6492
22.1340,85.6492
22.1610,88.0547
22.1920,89.9532
22.2240,89.9532
22.2510,91.6405
22.2820,91.6405
22.3090,93.3320
22.3410,95.4973
22.3730,95.4973
22.4040,99.0169
22.4370,101.0678
22.4690,101.0678
22.4960,103.1750
22.5280,103.1750
22.5560,104.3354
22.5880,104.4482
22.6200,104.4482
22.6480,104.1569
22.6850,103.9998
22.7180,103.9998
22.7450,104.1349
22.7770,104.1349
22.8050,104.7125
22.8380,105.6559
22.8710,105.6559
22.8980,107.0869
22.9360,108.4545
22.9680,108.4545
22.9950,109.7203
23.0270,109.7203
23.0550,110.5888
23.0870,110.8080
23.1190,110.8080
23.1470,109.4638
23.1840,105.0113
23.2170,105.0113
23.2440,98.3794
23.2760,98.3794
23.3030,92.3719
23.3350,86.8895
23.3670,86.8895
23.3950,80.4962
23.4270,80.4962
23.4540,73.7297
23.4900,67.9179
23.5220,67.9179
23.5490,63.7075
23.5800,63.7075
23.6070,60.4472
23.6390,58.3389
23.6700,58.3389
23.6960,58.1263
23.7340,59.5941
23.7670,59.5941
23.7930,63.5812
23.8250,63.5812
23.8530,70.1850
23.8850,77.4214
23.9180,77.4214
23.9450,83.5110
23.9790,83.5110
24.0100,88.5403
24.0420,93.1430
24.0740,93.1430
24.1020,98.2115
24.1350,103.7464
24.1670,103.7464
24.1940,107.5889
24.2270,107.5889
24.2540,112.2706
24.2910,118.5940
24.3230,118.5940
24.3510,125.9277
24.3840,133.2452
24.4160,133.2452
24.4430,138.9590
24.4760,138.9590
24.5030,142.9243
24.5400,143.8059
24.5720,143.8059
24.6000,138.5394
24.6330,128.0133
24.6650,128.0133
24.6920,122.7858
24.7250,122.7858
24.7520,120.6904
24.7840,122.6128
24.8210,122.6128
24.8490,128.7029
24.8820,134.1098
24.9130,134.1098
24.9400,134.1131
24.9730,134.1131
25.0000,132.7894
25.0320,132.1493
25.0690,132.1493
25.0970,131.5620
25.1290,124.5128
25.1610,124.5128
25.1890,113.8266
25.2220,113.8266
25.2490,107.9922
25.2810,103.3353
25.3180,103.3353
25.3460,100.5719
25.3780,99.3247
25.4100,99.3247
25.4380,99.5189
25.4710,99.5189
25.4980,101.1385
25.5300,104.3006
25.5630,104.3006
25.5900,108.0395
25.6260,108.0395
25.6520,110.7175
25.6850,114.0302
25.7160,114.0302
25.7430,118.4874
25.7750,118.4874
25.8020,124.0656
25.8340,129.8312
25.8700,129.8312
25.8980,134.3617
25.9300,134.7515
25.9620,134.7515
25.9890,126.8293
26.0220,126.8293
26.0490,121.2372
26.0810,119.2811
26.1170,119.2811
26.1450,121.2867
26.1770,127.1142
26.2080,127.1142
26.2350,131.8815
26.2680,131.8815
26.2950,133.9485
26.3270,135.5107
26.3600,135.5107
26.3920,138.0478
26.4240,138.0478
26.4510,141.2539
26.4820,136.7024
26.5150,136.7024
26.5420,127.4995
26.5730,127.4995
26.6000,124.4523
26.6320,125.2874
26.6680,125.2874
26.6950,130.9407
26.7290,139.6076
26.7600,139.6076
26.7870,144.1053
26.8190,144.1053
26.8470,145.2544
26.8790,146.5984
26.9160,146.5984
26.9430,148.8886
26.9750,151.8597
27.0060,151.8597
27.0330,155.1259
27.0650,155.1259
27.0930,157.5784
27.1250,154.0322
27.1570,154.0322
27.1890,139.9507
27.2220,139.9507
27.2490,126.0857
27.2810,119.0568
27.3130,119.0568
27.3400,115.2939
27.3720,115.2939
27.3980,114.7924
27.4310,117.4354
27.4670,117.4354
27.4940,123.6968
27.5260,130.5574
27.5590,130.5574
27.5860,130.8382
27.6180,130.8382
27.6460,130.7474
27.6780,132.6485
27.7150,132.6485
27.7430,135.9099
27.7760,140.6250
27.8090,140.6250
27.8360,145.8691
27.8680,145.8691
27.8960,150.8702
27.9280,154.4759
27.9650,154.4759
27.9920,152.1287
28.0240,140.1614
28.0570,140.1614
28.0840,123.6778
28.1160,123.6778
28.1440,113.8367
28.1760,106.3356
28.2070,106.3356
28.2340,100.7156
28.2700,100.7156
28.2970,96.7686
28.3290,94.0104
28.3600,94.0104
28.3870,92.0997
28.4180,92.0997
28.4450,90.7683
28.4770,89.7636
28.5140,89.7636
28.5410,88.8763
28.5730,88.0206
28.6050,88.0206
28.6320,87.1501
28.6640,87.1501
28.6910,86.2386
28.7250,85.0063
28.7620,85.0063
28.7890,83.3275
28.8200,81.2729
28.8510,81.2729
28.8770,78.4880
28.9090,78.4880
28.9370,74.5583
28.9680,74.5583
28.9950,69.0436
29.0270,61.4152
29.0630,61.4152
29.0890,56.0343
29.1210,51.9781
29.1530,51.9781
29.1810,46.5802
29.2140,46.5802
29.2410,39.7316
29.2730,33.0974
29.3110,33.0974
29.3380,26.7764
29.3700,19.9492
29.4030,19.9492
29.4300,12.0086
29.4620,12.0086
29.4890,5.0364
29.5220,4.5995
29.5540,4.5995
29.5810,4.6383
29.6170,4.6383
29.6440,4.4957
29.6760,4.5485
29.7070,4.5485
29.7340,4.5775
29.7670,4.5775
29.7930,4.6045
29.8250,4.6599
29.8610,4.6599
29.8890,4.7929
29.9220,4.9520
29.9540,4.9520
29.9820,5.7976
30.0140,5.7976
30.0410,8.8484
30.0730,12.7457
30.1090,12.7457
30.1370,14.3280
30.1700,12.9216
30.2020,12.9216
30.2300,9.8025
30.2620,9.8025
30.2890,5.7024
30.3210,4.8032
30.3530,4.8032
30.3800,4.9916
30.4160,4.9916
30.4420,4.8595
30.4750,4.9019
30.5060,4.9019
30.5330,4.9645
30.5650,4.9645
30.5920,5.2398
30.6240,6.2393
30.6590,6.2393
30.6870,8.0948
30.7200,11.6560
30.7520,11.6560
30.7790,16.5793
30.8120,16.5793
30.8390,21.9014
30.8710,27.1858
30.9030,27.1858
30.9300,32.5279
30.9670,37.3783
31.0000,37.3783
31.0270,41.4968
31.0600,41.4968
31.0870,45.6440
31.1190,49.3792
31.1500,49.3792
31.1770,52.3070
31.2140,52.3070
31.2410,54.5687
31.2730,56.7260
31.3040,56.7260
31.3310,58.7289
31.3620,58.7289
31.3890,60.6895
31.4210,62.2640
31.4570,62.2640
31.4840,63.1480
31.5180,63.5546
31.5500,63.5546
31.5770,64.1913
31.6090,64.1913
31.6370,65.4008
31.6690,66.5425
31.7010,66.5425
31.7280,67.5973
31.7660,68.7606
31.7980,68.7606
31.8250,70.1396
31.8570,70.1396
31.8850,71.8007
31.9180,73.2634
31.9500,73.2634
31.9790,73.4276
32.0150,71.4647
32.0480,71.4647
32.0750,67.1852
32.1070,67.1852
32.1340,60.1644
32.1660,49.5018
32.1970,49.5018
32.2240,33.6189
32.2560,33.6189
32.2870,9.6914
32.3190,6.1307
32.3510,6.1307
32.3780,5.9307
32.4100,5.9307
32.4370,2.9921
32.4690,3.4264
32.5010,3.4264
32.5270,3.4360
32.5650,3.4294
32.5970,3.4294
32.6240,3.4414
32.6560,3.4414
32.6840,3.4775
32.7160,3.5155
32.7480,3.5155
32.7750,3.5147
32.8120,3.5573
32.8430,3.5573
32.8700,3.6875
32.9010,3.6875
32.9280,3.8361
32.9600,3.8361
32.9870,3.9144
33.0190,3.9181
33.0510,3.9181
33.0780,3.9370
33.1140,4.2294
33.1470,4.2294
33.1740,5.1078
33.2060,5.1078
33.2330,8.6500
33.2650,10.7521
33.2970,10.7521
33.3240,15.1193
33.3600,19.4606
33.3920,19.4606
33.4190,23.8588
33.4500,23.8588
33.4770,28.0120
33.5090,28.0120
33.5350,31.7359
33.5670,35.2357
33.5990,35.2357
33.6300,38.3004
33.6630,41.9723
33.6950,41.9723
33.7230,45.7751
33.7550,45.7751
33.7820,49.6631
33.8150,53.1641
33.8450,53.1641
33.8720,56.4008
33.9090,59.1964
33.9400,59.1964
33.9680,61.3803
34.0000,61.3803
34.0270,62.5452
34.0590,62.2575
34.0910,62.2575
34.1180,61.3811
34.1540,61.3811
34.1820,60.8959
34.2140,61.2977
34.2460,61.2977
34.2730,62.3945
34.3050,62.3945
34.3320,63.6087
34.3640,64.7049
34.3950,64.7049
34.4220,65.7061
34.4590,66.9090
34.4910,66.9090
34.5190,68.4665
34.5510,68.4665
34.5780,70.1080
34.6090,71.7915
34.6420,71.7915
34.6690,73.2397
34.7060,73.2397
34.7330,74.3672
34.7670,75.6795
34.7980,75.6795
34.8250,76.7423
34.8570,76.7423
34.8830,77.4793
34.9150,77.9400
34.9460,77.9400
